지표,활용자,비활용자,t,p(보고용),유의,d,효과크기
디지털피로,3.29,3.29,-0.02,p=.986,n.s.,-0.001,매우작음
AI리스크,3.66,3.74,-2.7,p=.007,**,-0.124,매우작음
AI기대,3.52,2.9,19.46,p<.001,***,0.895,큼
번아웃,3.27,3.19,2.04,p=.042,*,0.092,매우작음
직업만족,6.07,6.05,0.21,p=.836,n.s.,0.009,매우작음
