유형,인원수,비율(%),JTSI,번아웃,만족도
② AI 과부하형,549,27.2,1.33,3.51,5.75
① 안정 적응형,624,30.9,-1.11,3.06,6.35
④ 전환 소외형,370,18.3,1.26,3.46,5.58
③ 전환 관망형,477,23.6,-1.05,2.98,6.41
